,I_XT,I_TY,Layer,Epochs
260,6.920686902313136,0.6931469493594913,1,65
261,6.597183114834758,0.6153965441205922,2,65
262,3.1466825851772002,0.5225062197746956,3,65
263,1.3983603439109153,0.5013527795474758,4,65
264,6.920686902313136,0.6931469493594913,1,66
265,6.60393426011646,0.6173241775051489,2,66
266,3.1584550182676576,0.5210823201652095,3,66
267,1.4005088910151882,0.507783419751941,4,66
268,6.920686902313136,0.6931469493594913,1,67
269,6.594386633825348,0.61888218911134,2,67
270,3.1579817610051846,0.520888026037496,3,67
271,1.3337965240127323,0.5134502326815673,4,67
272,6.920686902313136,0.6931469493594913,1,68
273,6.593939724010371,0.6171952157418021,2,68
274,3.1730751963410206,0.5221797798153726,3,68
275,1.2768869673448031,0.5070653878038297,4,68
276,6.920686902313136,0.6931469493594913,1,69
277,6.590801724843747,0.6190676699894655,2,69
278,3.1702362186972204,0.5280151265981357,3,69
279,1.2387431941862237,0.5042268315627011,4,69
280,6.920686902313136,0.6931469493594913,1,70
281,6.592240556961241,0.6202797358352875,2,70
282,3.1549435816792366,0.5334909204690623,3,70
283,1.1707884812986182,0.5006556277677823,4,70
284,6.920686902313136,0.6931469493594913,1,71
285,6.592417068750913,0.6178678962127159,2,71
286,3.141125756665568,0.5306571572423777,3,71
287,1.151493581576896,0.499463245381458,4,71
288,6.920686902313136,0.6931469493594913,1,72
289,6.591051401375646,0.6178016550136903,2,72
290,3.135338244188488,0.5283395249660171,3,72
291,1.2687498410276876,0.49916630112530563,4,72
292,6.920686902313136,0.6931469493594913,1,73
293,6.592268944692708,0.6168196192415131,2,73
294,3.117094818613366,0.5278317295853111,3,73
295,1.3639652724389963,0.5023815235651998,4,73
296,6.920686902313136,0.6931469493594913,1,74
297,6.589176231497922,0.6182106092811691,2,74
298,3.117607149705137,0.5269863601017997,3,74
299,1.4315561262113194,0.5085890813136715,4,74
300,6.920686902313136,0.6931469493594913,1,75
301,6.591672360922416,0.6166674327285573,2,75
302,3.1334446685611317,0.5293394217696795,3,75
303,1.4733433358102173,0.5141797161741639,4,75
304,6.920686902313136,0.6931469493594913,1,76
305,6.584468143174859,0.6129057746897305,2,76
306,3.1266415122297073,0.529452619834598,3,76
307,1.4884998991248675,0.5270975061071962,4,76
308,6.920686902313136,0.6931469493594913,1,77
309,6.586951892205475,0.6151951604391703,2,77
310,3.1318729304020456,0.5289412116486393,3,77
311,1.4809401082897444,0.5285336179273794,4,77
312,6.920686902313136,0.6931469493594913,1,78
313,6.595525277553043,0.6149675013189072,2,78
314,3.129665453239026,0.5276315328211917,3,78
315,1.4504036293819877,0.5205700756277135,4,78
316,6.920686902313136,0.6931469493594913,1,79
317,6.587660043491379,0.6137218692979245,2,79
318,3.1387280627863423,0.5292075710062023,3,79
319,1.4232876346511305,0.5158761694628657,4,79
320,6.920686902313136,0.6931469493594913,1,80
321,6.582999135748757,0.6147220354695447,2,80
322,3.1454346292241464,0.5321541171392009,3,80
323,1.3950661890858513,0.5117887869791211,4,80
324,6.920686902313136,0.6931469493594913,1,81
325,6.589831891559067,0.6127405808925332,2,81
326,3.1485553231848535,0.5378793991901422,3,81
327,1.3704906451321632,0.5091047525399953,4,81
328,6.920686902313136,0.6931469493594913,1,82
329,6.590322673831456,0.6102825208441582,2,82
330,3.1498258715983054,0.540788442353664,3,82
331,1.352510731837973,0.5074416824331265,4,82
332,6.919468782083782,0.6931469493594913,1,83
333,6.594606860206396,0.615538321914768,2,83
334,3.1646198772441276,0.5429736936624248,3,83
335,1.329649800458645,0.5055173805908769,4,83
336,6.920686902313136,0.6931469493594913,1,84
337,6.580897713480321,0.6184395918835559,2,84
338,3.1834746781071113,0.5419067281094049,3,84
339,1.34222631664448,0.5050716658183354,4,84
340,6.920686902313136,0.6931469493594913,1,85
341,6.5704308298926515,0.6144727065474729,2,85
342,3.177364315076882,0.5390198403375192,3,85
343,1.4046520710741968,0.5043852346620536,4,85
344,6.920686902313136,0.6931469493594913,1,86
345,6.5637299213595295,0.6142388060760997,2,86
346,3.164596120330109,0.538388375448959,3,86
347,1.452202174655911,0.5084063952958882,4,86
348,6.920686902313136,0.6931469493594913,1,87
349,6.555294734257907,0.6144272643199353,2,87
350,3.173136285038908,0.5386267793897279,3,87
351,1.4987864327645322,0.5093331947802509,4,87
352,6.920686902313136,0.6931469493594913,1,88
353,6.545825323373511,0.6166238862395002,2,88
354,3.1767758185032973,0.5395268896442789,3,88
355,1.5514962992574062,0.5128593155021296,4,88
356,6.920686902313136,0.6931469493594913,1,89
357,6.5488182149989305,0.6210626398088768,2,89
358,3.1525780967215034,0.54023995913004,3,89
359,1.5892811695568787,0.521456337570975,4,89
360,6.920686902313136,0.6931469493594913,1,90
361,6.54612178835325,0.6223840186305428,2,90
362,3.150304550023964,0.5400106648304136,3,90
363,1.613641786613887,0.527133072778836,4,90
364,6.920686902313136,0.6931469493594913,1,91
365,6.556563448598228,0.6232615444444194,2,91
366,3.147060317047353,0.54268210695987,3,91
367,1.6411063006167186,0.5310236507889387,4,91
368,6.920686902313136,0.6931469493594913,1,92
369,6.550196148839903,0.6254173857777026,2,92
370,3.162215075543002,0.5425116743876228,3,92
371,1.6517226178495692,0.5314720093334154,4,92
372,6.920686902313136,0.6931469493594913,1,93
373,6.547604926899393,0.6262049251034453,2,93
374,3.1706568749996515,0.5439567670241192,3,93
375,1.6659693017963688,0.5428708834900009,4,93
376,6.920686902313136,0.6931469493594913,1,94
377,6.542319749277609,0.6216315653595677,2,94
378,3.1960169563841867,0.5454829490629016,3,94
379,1.6792756127257185,0.5507307450029928,4,94
380,6.920686902313136,0.6931469493594913,1,95
381,6.540278668059875,0.6174495539006294,2,95
382,3.2190468056824426,0.5432163892773479,3,95
383,1.682832061149432,0.5506193755870896,4,95
384,6.91807348015566,0.6931469493594913,1,96
385,6.528325168277894,0.6169696703160984,2,96
386,3.2223411876629764,0.541777702801997,3,96
387,1.6842796030308023,0.5480949955179379,4,96
388,6.91807348015566,0.6931469493594913,1,97
389,6.520186809024441,0.6127355573505213,2,97
390,3.2279443896485267,0.5440198485277239,3,97
391,1.6928347711406557,0.5458448258651367,4,97
392,6.91807348015566,0.6931469493594913,1,98
393,6.51986810743873,0.613058949362986,2,98
394,3.233854029213486,0.5439608108895766,3,98
395,1.6957298905139768,0.5423088186092191,4,98
396,6.919291600385013,0.6931469493594913,1,99
397,6.517576664239887,0.6128983293819007,2,99
398,3.2370041373208993,0.5464085756880133,3,99
399,1.7002804243933851,0.5412374746230384,4,99
400,6.919291600385013,0.6931469493594913,1,100
401,6.521036147545655,0.6105454101282589,2,100
402,3.2389264515687843,0.5453395967808994,3,100
403,1.6984120007310923,0.5387917054676912,4,100
404,6.919291600385013,0.6931469493594913,1,101
405,6.5250326971793875,0.6117078387814522,2,101
406,3.2343684207465073,0.5514213130676588,3,101
407,1.7022242321568017,0.5383083674656531,4,101
408,6.919291600385013,0.6931469493594913,1,102
409,6.524542030316884,0.6147916925712325,2,102
410,3.229983077289949,0.5565436755570933,3,102
411,1.718483055076942,0.5383083674656544,4,102
412,6.919291600385013,0.6931469493594913,1,103
413,6.517931225935496,0.6165855218402811,2,103
414,3.2251116199633487,0.5563232464088583,3,103
415,1.7249410071782614,0.5373302258034409,4,103
416,6.920686902313136,0.6931469493594913,1,104
417,6.5212705319180575,0.6187789589283199,2,104
418,3.229264793882801,0.5563232464088581,3,104
419,1.7343376905862178,0.5373302258034411,4,104
